Longitude,Latitude,HouseAge,Population,MedInc,MedianHouseValue,AveBedrms,AveRooms,AveOccup
-122.23,37.88,41,322,8.3252,4.526,1.023809524,6.984126984,2.555555556
-122.22,37.86,21,2401,8.3014,3.585,0.971880492,6.238137083,2.109841828
-122.24,37.85,52,496,7.2574,3.521,1.073446328,8.288135593,2.802259887
-122.25,37.85,52,558,5.6431,3.413,1.073059361,5.817351598,2.547945205
-122.25,37.85,52,565,3.8462,3.422,1.081081081,6.281853282,2.181467181
-122.25,37.85,52,413,4.0368,2.697,1.103626943,4.761658031,2.139896373
-122.25,37.84,52,1094,3.6591,2.992,0.951361868,4.931906615,2.128404669
-122.25,37.84,52,1157,3.12,2.414,1.061823802,4.797527048,1.788253478
-122.26,37.84,42,1206,2.0804,2.267,1.117647059,4.294117647,2.026890756
-122.25,37.84,52,1551,3.6912,2.611,0.990196078,4.970588235,2.172268908
-122.26,37.85,52,910,3.2031,2.815,1.07960199,5.47761194,2.263681592
-122.26,37.85,52,1504,3.2705,2.418,1.024523161,4.772479564,2.049046322
-122.26,37.85,52,1098,3.075,2.135,1.012820513,5.322649573,2.346153846
-122.26,37.84,52,345,2.6736,1.913,1.097701149,4,1.982758621
-122.26,37.85,52,1212,1.9167,1.592,1.009677419,4.262903226,1.95483871
-122.26,37.85,50,697,2.125,1.4,1.071969697,4.242424242,2.640151515
-122.27,37.85,52,793,2.775,1.525,1.048338369,5.939577039,2.395770393
-122.27,37.85,52,648,2.1202,1.555,0.9669967,4.052805281,2.138613861
-122.26,37.84,50,990,1.9911,1.587,1.085918854,5.343675418,2.362768496
-122.27,37.84,52,690,2.6033,1.629,1.083636364,5.465454545,2.509090909
-122.27,37.85,40,409,1.3578,1.475,1.108433735,4.524096386,2.463855422
-122.27,37.85,42,929,1.7135,1.598,1.00273224,4.478142077,2.538251366
-122.27,37.84,52,1015,1.725,1.139,1.131799163,5.09623431,2.123430962
-122.27,37.84,52,853,2.1806,0.997,1.036923077,5.193846154,2.624615385
-122.27,37.84,52,1006,2.6,1.326,1.035545024,5.27014218,2.383886256
-122.28,37.85,41,317,2.4038,1.075,1.033613445,4.495798319,2.663865546
-122.28,37.85,49,607,2.4597,0.938,1.020920502,4.728033473,2.539748954
-122.28,37.85,52,1102,1.808,1.055,1.060453401,4.780856423,2.77581864
-122.28,37.84,50,1131,1.6424,1.089,1.040169133,4.401691332,2.391120507
-122.28,37.84,52,395,1.6875,1.32,1.032258065,4.703225806,2.548387097
-122.28,37.84,49,863,1.9274,1.223,1.182539683,5.068783069,2.283068783
-122.28,37.84,52,1168,1.9615,1.152,1.090702948,4.882086168,2.648526077
-122.27,37.84,48,1026,1.7969,1.104,1.220895522,5.737313433,3.062686567
-122.27,37.83,49,754,1.375,1.049,1.112462006,5.030395137,2.291793313
-122.27,37.83,51,1258,2.7303,1.097,1.070895522,4.972014925,2.347014925
-122.27,37.83,49,570,1.4861,0.972,1.068181818,4.602272727,2.159090909
-122.27,37.83,48,987,1.0972,1.045,1.155080214,4.807486631,2.639037433
-122.28,37.83,52,901,1.4103,1.039,0.967741935,3.749379653,2.23573201
-122.26,37.83,52,689,3.48,1.914,1.067961165,4.757281553,2.229773463
-122.26,37.83,52,1377,2.5898,1.76,1.027298851,3.494252874,1.978448276
-122.26,37.83,52,946,2.0978,1.554,1.060759494,4.215189873,2.394936709
-122.26,37.83,51,517,1.2852,1.5,1.248995984,3.759036145,2.076305221
-122.26,37.84,49,462,1.025,1.188,1.068783069,3.772486772,2.444444444
-122.26,37.84,52,467,3.9643,1.888,1.02020202,4.797979798,2.358585859
-122.26,37.83,52,660,3.0125,1.844,1.065068493,4.941780822,2.260273973
-122.26,37.83,52,718,2.6768,1.823,1.09947644,4.335078534,1.879581152
-122.26,37.83,50,616,2.026,1.425,1.059210526,3.700657895,2.026315789
-122.27,37.82,43,558,1.7348,1.375,1.233201581,3.980237154,2.205533597
-122.26,37.82,40,423,0.9506,1.875,1.21875,3.9,2.64375
-122.27,37.82,40,700,1.775,1.125,1.065340909,2.6875,1.988636364
-122.27,37.82,21,735,0.9218,1.719,1.034246575,2.0456621,1.678082192
-122.27,37.82,43,1061,1.5045,0.938,1.12039312,4.58968059,2.606879607
-122.27,37.82,41,1959,1.1108,0.975,1.184722222,4.473611111,2.720833333
-122.27,37.82,52,1162,1.2475,1.042,1.14,4.075,2.905
-122.28,37.82,52,701,1.6098,0.875,1.008583691,5.021459227,3.008583691
-122.28,37.82,52,576,1.4113,0.831,1.104545455,4.295454545,2.618181818
-122.28,37.82,52,622,1.5057,0.875,1.111969112,4.77992278,2.401544402
-122.28,37.82,52,728,0.8172,0.853,1.37295082,6.102459016,2.983606557
-122.28,37.82,52,1074,1.2171,0.803,1.121710526,4.5625,3.532894737
-122.29,37.82,2,94,2.5625,0.6,0.754385965,2.771929825,1.649122807
-122.29,37.83,52,554,3.3929,0.757,1.128342246,5.994652406,2.962566845
-122.29,37.82,49,86,6.1183,0.75,1.260869565,5.869565217,3.739130435
-122.29,37.81,50,377,0.9011,0.861,1.557377049,6.229508197,3.090163934
-122.3,37.81,52,521,1.191,0.761,1.490566038,7.698113208,3.27672956
-122.3,37.81,48,392,2.5938,0.735,1.368421053,6.22556391,2.947368421
-122.3,37.81,52,604,1.1667,0.784,1.117647059,5.401069519,3.229946524
-122.3,37.81,48,788,0.8056,0.844,1.06626506,4.38253012,2.373493976
-122.29,37.8,52,492,2.6094,0.813,1.659863946,6.986394558,3.346938776
-122.3,37.81,52,274,1.8516,0.85,1.329268293,6.975609756,3.341463415
-122.29,37.81,46,1823,0.9802,1.292,1.05400982,4.584288052,2.983633388
-122.29,37.81,26,392,1.7719,0.825,1.196850394,6.047244094,3.086614173
-122.29,37.81,46,582,0.7286,0.952,1.072202166,3.375451264,2.101083032
-122.29,37.81,49,560,1.75,0.75,1.342105263,5.552631579,3.684210526
-122.29,37.81,46,18,0.4999,0.675,0.571428571,1.714285714,2.571428571
-122.29,37.81,20,290,2.483,1.375,1.210526316,6.278195489,2.180451128
-122.28,37.81,17,762,0.9241,1.775,1.0523918,2.817767654,1.735763098
-122.28,37.81,36,1236,2.4464,1.021,1.104125737,5.724950884,2.428290766
-122.28,37.81,19,721,1.1111,1.083,1.173913043,5.830917874,3.483091787
-122.29,37.81,23,1054,0.8026,1.125,1.150769231,5.369230769,3.243076923
-122.28,37.8,38,344,2.0114,1.313,1.135483871,4.412903226,2.219354839
-122.28,37.81,17,609,1.5,1.625,1,3.197231834,2.107266436
-122.27,37.81,52,183,1.1667,1.125,1,3.75,3.267857143
-122.28,37.81,52,200,1.5208,1.125,1.114942529,3.908045977,2.298850575
-122.28,37.81,52,346,0.8075,1.375,1.058064516,2.490322581,2.232258065
-122.28,37.81,35,467,1.8088,1.188,1.088757396,5.609467456,2.763313609
-122.28,37.81,52,377,2.4083,0.982,1.243478261,6.72173913,3.27826087
-122.27,37.81,40,582,0.977,1.188,1.186842105,2.315789474,1.531578947
-122.27,37.81,10,546,0.76,1.625,1.054545455,2.651515152,1.654545455
-122.27,37.8,10,125,0.9722,1.375,1.076923077,2.692307692,3.205128205
-122.27,37.8,52,396,1.2434,5.00001,0.917647059,2.929411765,4.658823529
-122.27,37.8,16,800,2.0938,1.625,1.082872928,2.745856354,2.209944751
-122.28,37.8,52,904,0.8668,1.375,0.988636364,2.443181818,10.27272727
-122.28,37.8,52,191,0.75,1.625,0.911764706,2.823529412,5.617647059
-122.27,37.79,27,718,2.6354,1.875,1.149006623,3.493377483,2.377483444
-122.27,37.8,39,1327,1.8477,1.792,1.334047109,3.672376874,2.841541756
-122.26,37.8,36,3469,2.0096,1.3,1.066293586,2.294016358,1.493327594
-122.26,37.82,31,2048,2.8345,1.838,1.127966102,3.894915254,1.73559322
-122.26,37.81,29,202,2.0062,1.25,1.175824176,3.681318681,2.21978022
-122.26,37.82,22,2024,1.2185,1.7,1.016,2.9456,1.6192
-122.26,37.82,37,1838,2.6104,1.931,1.107142857,3.707142857,1.875510204
-122.25,37.81,29,2304,2.4912,2.578,1.1312,3.7248,1.8432
-122.25,37.81,28,2563,3.2177,2.734,1.070808283,3.878423514,1.712090848
-122.25,37.81,39,389,3.125,2.375,1.061403509,3.745614035,1.706140351
-122.25,37.81,52,895,2.5795,3.5,1.143556281,3.515497553,1.460032626
-122.26,37.81,34,2689,2.8406,3.357,1.069871437,3.281721632,1.503074343
-122.24,37.82,52,674,4.9306,3.134,0.922131148,6.18442623,2.762295082
-122.24,37.81,52,709,3.2727,2.685,1.057017544,4.442982456,1.554824561
-122.25,37.81,52,686,3.1691,2.594,1.090047393,4.165876777,1.625592417
-122.24,37.82,52,1444,3.9,2.757,1.045961003,4.848189415,2.011142061
-122.25,37.82,28,1520,3.9063,2.25,1.066084788,4.16084788,1.895261845
-122.25,37.82,52,550,5.0917,2.625,1.14229249,5.628458498,2.173913043
-122.25,37.82,32,1806,2.6429,2.185,1.074363992,3.727005871,1.767123288
-122.25,37.82,26,1749,3.0233,2.55,0.982744454,3.253081348,1.437140509
-122.25,37.83,52,939,3.1484,2.241,1.077071291,4.578034682,1.809248555
-122.25,37.83,35,675,3.4722,2.431,1.014218009,3.822274882,1.599526066
-122.25,37.83,52,534,3.1429,2.316,0.986254296,4.395189003,1.835051546
-122.25,37.83,28,2558,2.4234,2.185,1.053582179,3.023479831,1.540036123
-122.25,37.83,52,1786,3.0897,2.341,1.06557377,4.040501446,1.722275796
-122.23,37.84,50,970,5.8596,3.276,1.069705094,6.742627346,2.600536193
-122.23,37.84,47,1098,5.2868,3.476,0.936082474,6.546391753,2.263917526
-122.24,37.83,41,794,5.956,3.661,1.079787234,6.85106383,2.111702128
-122.24,37.85,37,98,4.9643,3.35,1.14893617,7.106382979,2.085106383
-122.23,37.85,52,1061,6.3434,3.736,1.019851117,6.947890819,2.632754342
-122.24,37.84,52,1177,5.1773,3.895,1.034234234,6.358558559,2.120720721
-122.24,37.85,52,901,7.2354,3.911,0.994550409,7.117166213,2.455040872
-122.22,37.85,28,2031,5.457,3.373,1.09623431,5.530334728,2.124476987
-122.22,37.84,50,1031,7.5,2.952,0.987473904,6.127348643,2.152400835
-122.21,37.84,44,1358,6.0194,2.923,1,5.735343384,2.274706868
-122.21,37.83,40,1616,7.5544,4.115,1.03058104,7.631498471,2.470948012
-122.2,37.84,30,844,6.0666,3.115,1.008746356,6.44606414,2.460641399
-122.21,37.84,34,1140,7.0548,3.259,0.987903226,6.125,2.298387097
-122.19,37.84,18,533,11.6017,3.926,1.082474227,8.335051546,2.74742268
-122.2,37.84,35,1072,7.4882,3.193,1.038374718,6.467268623,2.41986456
-122.21,37.83,34,1627,6.8976,3.333,1.028720627,6.61227154,2.124020888
-122.19,37.83,28,463,8.2049,3.352,0.968421053,6.978947368,2.436842105
-122.2,37.83,26,542,8.401,3.512,1.056872038,7.530805687,2.568720379
-122.19,37.83,29,661,6.8538,3.689,1.007434944,6.657992565,2.457249071
-122.19,37.82,32,635,8.317,3.659,1.003802281,6.977186312,2.414448669
-122.2,37.82,37,420,7.0175,3.667,1.028409091,6.982954545,2.386363636
-122.2,37.82,39,1265,6.3302,3.628,1.068,7.54,2.53
-122.18,37.81,30,126,6.3624,4.833,0.730769231,5.615384615,2.423076923
-122.21,37.82,52,813,7.0549,3.314,0.951428571,6.785714286,2.322857143
-122.2,37.81,45,1067,6.7851,3.235,1.023474178,6.957746479,2.504694836
-122.21,37.8,50,1260,2.8929,2.167,1.096014493,5.132246377,2.282608696
-122.21,37.8,38,951,3.0812,2.331,1.098562628,4.628336756,1.952772074
-122.21,37.81,52,510,5.2402,2.964,0.946428571,6.200892857,2.276785714
-122.22,37.81,52,765,6.5217,2.737,1.087662338,6.399350649,2.483766234
-122.22,37.8,52,1129,3.2632,2.277,1.010869565,4.745652174,2.454347826
-122.22,37.8,52,1073,3.0298,1.996,1.052154195,5.183673469,2.433106576
-122.22,37.8,52,1185,4.5428,2.398,1.050485437,5.283495146,2.300970874
-122.22,37.81,52,756,4.072,2.701,0.997058824,5.952941176,2.223529412
-122.22,37.81,52,1034,5.3509,3.021,1.028790787,5.650671785,1.984644914
-122.23,37.8,52,787,3.1603,2.695,1.058823529,4.4291939,1.71459695
-122.23,37.81,52,612,4.7708,3.147,1.075117371,6.727699531,2.873239437
-122.22,37.81,52,1021,8.1564,3.901,1.057894737,7.702631579,2.686842105
-122.23,37.81,52,861,8.8793,4.103,1.131782946,8.972868217,3.337209302
-122.24,37.81,52,953,6.8591,3.524,0.957186544,7.599388379,2.914373089
-122.24,37.81,52,634,6.0302,2.873,0.9296875,5.8203125,2.4765625
-122.23,37.81,52,878,7.508,3.487,1.036931818,7.994318182,2.494318182
-122.24,37.81,52,918,2.7477,2.438,1.138716356,4.333333333,1.900621118
-122.24,37.8,52,360,2.1944,2.115,0.96,5.074285714,2.057142857
-122.25,37.8,52,1197,3.0149,2.184,1.045081967,4.276639344,2.452868852
-122.24,37.81,52,1048,3.675,2.699,0.969111969,4.851351351,2.023166023
-122.25,37.81,46,1373,3.225,2.188,1.117804552,4.326639893,1.838018742
-122.25,37.8,42,1715,2.9345,2.25,1.049261084,4.0591133,1.689655172
-122.25,37.8,43,1359,2.1429,2.5,1.096952909,3.274238227,1.882271468
-122.25,37.8,41,1062,1.6121,1.714,1.13559322,3.561743341,2.571428571
-122.25,37.8,29,1335,1.3929,1.938,1.117723157,3.192755498,1.727037516
-122.24,37.79,27,1171,2.3173,1.25,1.146853147,3.804195804,2.72960373
-122.25,37.79,45,1475,1.7772,0.975,1.143478261,3.882608696,3.206521739
-122.25,37.79,50,742,2.6458,1.25,0.959183673,3.209183673,3.785714286
-122.25,37.79,52,1086,2.181,1.388,1.077134986,3.688705234,2.991735537
-122.25,37.8,36,1645,2.2303,1.167,1.116022099,3.090239411,3.02946593
-122.25,37.8,43,1710,1.6504,1.518,1.004658385,3.639751553,2.655279503
-122.24,37.8,52,731,2.2697,1.27,1,4.368421053,3.206140351
-122.24,37.8,52,1118,2.1563,1.286,1.074927954,4.585014409,3.221902017
-122.24,37.8,52,1006,2.1348,1.406,1.188059701,4.734328358,3.002985075
-122.24,37.8,47,1213,2.6292,1.827,1.061371841,3.693140794,2.189530686
-122.23,37.8,52,772,2.3833,1.469,1.124513619,4.638132296,3.003891051
-122.24,37.8,52,1321,2.957,1.228,1.047381546,4.496259352,3.294264339
-122.24,37.8,49,1487,2.5238,1.693,1.106351551,4.192023634,2.196454948
-122.23,37.8,52,488,1.9375,1.266,0.989247312,4.209677419,2.623655914
-122.23,37.8,51,949,1.9028,1.279,1.056122449,4.056122449,2.420918367
-122.23,37.8,50,1149,2.25,1.235,1.156626506,4.207228916,2.768674699
-122.23,37.8,52,844,2.3929,1.119,1.067857143,4.471428571,3.014285714
-122.23,37.79,43,4367,2.1917,1.128,1.091795288,4.844029245,3.54752234
-122.23,37.79,52,1659,2.9357,1.079,0.958737864,4.327669903,4.026699029
-122.23,37.79,30,1011,1.8854,1.375,1.003802281,3.798479087,3.844106464
-122.24,37.79,39,1464,2.1638,1.055,1.107969152,3.776349614,3.763496144
-122.24,37.79,47,1237,2.125,0.955,1.303630363,4.528052805,4.082508251
-122.24,37.79,52,647,3.375,1.161,1.071428571,4.011904762,3.851190476
-122.24,37.79,43,1284,2.2542,1.122,1.053221289,4.554621849,3.596638655
-122.25,37.79,51,228,2.1,0.75,0.781818182,3.181818182,4.145454545
-122.25,37.79,39,381,1.6,1.125,1.048780488,3.74796748,3.097560976
-122.25,37.79,52,846,3.625,1.25,1.044052863,3.973568282,3.726872247
-122.26,37.8,20,1659,1.6929,1.15,1.152366864,3.51035503,2.454142012
-122.22,37.77,52,520,1.6471,0.95,0.927536232,2.833333333,3.768115942
-122.22,37.77,52,866,2.59,0.964,1.162162162,4.38996139,3.343629344
-122.23,37.77,52,612,2.57,0.72,1.12568306,4.202185792,3.344262295
-122.23,37.78,52,415,2.6429,0.713,1.158730159,3.746031746,3.293650794
-122.23,37.78,52,994,3.0257,0.808,1.009389671,4.046948357,4.666666667
-122.22,37.78,50,1525,1.4886,1.288,1.111111111,4.025157233,3.19706499
-122.23,37.78,43,1506,1.9338,1.125,1.077625571,3.242009132,3.438356164
-122.23,37.78,52,1008,1.4844,1.194,1.011764706,3.866666667,3.952941176
-122.23,37.78,44,2813,1.6009,1.181,1.098535286,3.115845539,3.745672437
-122.23,37.79,48,1481,2.0375,1.225,1.15451895,4.944606414,4.317784257
-122.23,37.79,49,859,2.293,1.063,0.99086758,5.365296804,3.922374429
-122.22,37.79,37,1608,2.1494,1.325,1.09751434,4.479923518,3.07456979
-122.23,37.79,30,425,1.6198,1.227,1.035714286,4.357142857,3.035714286
-122.23,37.79,40,564,1.3281,1.133,1.081521739,5.054347826,3.065217391
-122.22,37.79,44,961,3.5156,1.095,1.154411765,5.466911765,3.533088235
-122.22,37.79,52,2273,3.9048,1.647,1.00729927,4.998540146,3.318248175
-122.21,37.79,52,600,3.0893,1.25,0.974358974,3.907692308,3.076923077
-122.22,37.79,46,1647,2.6042,1.247,1.091081594,4.489563567,3.125237192
-122.22,37.79,49,1201,2.5,1.367,1.061320755,4.306603774,2.83254717
-122.22,37.79,38,2167,2.7969,1.417,1.078907436,4.626707132,3.28831563
-122.2,37.79,29,939,2.8321,1.5,1.105882353,4.823529412,2.761764706
-122.21,37.79,47,859,2.9583,1.388,1.051369863,5.284246575,2.941780822
-122.21,37.79,34,1517,2.8365,1.392,1.079457364,4.581395349,2.939922481
-122.21,37.79,35,1143,2.875,1.438,1.059585492,4.520725389,2.961139896
